豆王,2.80,4.40,6.00,普通,斤,2021-03-15
扁豆,2.50,3.75,5.00,冀鲁聊城,斤,2021-03-15
豇豆,5.00,6.00,7.00,桂滇闽,斤,2021-03-15
白不老,4.50,5.00,5.50,滇,斤,2021-03-15
油豆,5.00,6.50,8.00,滇,斤,2021-03-15
毛豆,6.00,6.15,6.30,普通,斤,2021-03-15
红薯,1.40,1.60,1.80,冀新,斤,2021-03-15
红薯,2.30,2.55,2.80,西瓜红,斤,2021-03-15
绿豆芽,0.90,0.95,1.00,普通,斤,2021-03-15
黄豆芽,0.80,0.85,0.90,普通,斤,2021-03-15
蒜米,3.00,3.40,3.80,普通,斤,2021-03-15
苦瓜,3.00,3.50,4.00,鲁,斤,2021-03-15
丝瓜,3.00,3.50,4.00,鲁,斤,2021-03-15
南北瓜,2.40,2.70,3.00,苏冀,斤,2021-03-15
白玉菇,2.00,2.90,3.80,普通,斤,2021-03-15
口蘑,6.50,7.00,7.50,普通,斤,2021-03-15
杏鲍菇,3.00,3.25,3.50,普通,斤,2021-03-15
金针菇,1.80,2.15,2.50,普通,斤,2021-03-15
茴香,1.20,1.60,2.00,冀,斤,2021-03-15
南果梨,1.50,3.00,4.50,梨类,斤,2021-03-18
丰水梨,3.50,3.75,4.00,梨类,斤,2021-03-18
酥梨,2.20,2.40,2.60,梨类,斤,2021-03-18
库尔勒香梨,2.50,3.25,4.00,梨类,斤,2021-03-18
红香酥梨系列,1.50,1.75,2.00,梨类,斤,2021-03-18
蜜梨,2.00,2.25,2.50,梨类,斤,2021-03-18
